Category	Msg	Pattern
trojan-activity	ET DELETED Bedep Checkin	"/^(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/P"
trojan-activity	ET DELETED Bedep Checkin	"/^Content-Length\x3a 2\d{2}\r?$/Hmi"
trojan-activity	ET DELETED Possible ASPROX Download URI Struct June 19 2014	"/\/[a-z]{2,9}\.php\?(?:[a-z0-9]{2,4}|[cktw])=[a-zA-Z0-9\x2b\x2f\x5c]{43,56}=?$/U"
trojan-activity	ET WEB_CLIENT Upatre Redirector Dec 16 2014 set	"/^\/[a-z]{10}\/[a-z]{10}\.html$/U"
trojan-activity	ET CURRENT_EVENTS SoakSoak Malware GET request	"/^Host\x3a[^\r\n]+soaksoak\.ru/Hmi"
trojan-activity	ET CURRENT_EVENTS SoakSoak Malware GET request	"/^\/xteas\/code$/U"
exploit-kit	ET EXPLOIT_KIT RIG EK Landing Page Sept 17 2014	"/^[a-z0-9]+\x2A\x2F\x22\x6F\x66\x74\x2E/R"
trojan-activity	ET DELETED IRC channel topic reptile commands	"/\.((testdlls|threads|netstatp|nsp|speed|uptime|installed|secure|sec|unsecure|unsec|process|ps|rand|exploitftpd|eftpd|flusharp|farp|flushdns|fdns|resolve|dns|pstore|pst|sysinfo|si|netinfo|ni|driveinfo|di|stats|currentip)\s*[\r\n]|(iestart|ies|login|l|mirccmd|system|file\s+(cat|exists|e|del|rm|rmdir|move|copy|attrib)|down|dl\x|update|reg\s+(query|delete|write))\s+\w+|(banner|ban|advscan|asc|scanall|sa|ntscan|nts)\s*[\n\r])/i"
exploit-kit	ET EXPLOIT_KIT Malicious Referer Bulk Traffic Sometimes Leading to EKs (Possible Bedep infection) Dec 16 2014	"/^Referer\x3a[^\r\n]+?rowedmedia\.com\/search\.php\r?$/Hmi"
trojan-activity	ET WEB_CLIENT Upatre Download Redirection Dec 18 2014	"/^[^\x2f\x22]+?\x22>/R"
exploit-kit	ET EXPLOIT_KIT Archie EK T2 Activity Dec 18 2014	"/^Host\x3a\s*?\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}(?:\x3a|\r\n)/Hmi"
trojan-activity	ET MALWARE W32/Dridex Distribution Campaign Dec 19 2014	"/\/s?stat\/lldvs?\.php$/U"
trojan-activity	ET MALWARE W32/Dridex Distribution Campaign Dec 19 2014	"/^Host\x3A[^\r\n]+?\d{1,3}\x2E\d{1,3}\x2E\d{1,3}\x2E\d{1,3}(?:\x3a\d{1,5})?\r?$/Hmi"
targeted-activity	ET MALWARE Win32/Spy.Agent.OHT - AnunakAPT TCP Checkin 2	"/^[a-f0-9]+$/R"
trojan-activity	ET MALWARE Win32.Akdoor Reporting MAC Address	"/^[0-9A-F]{12}$/R"
trojan-activity	ET MALWARE Worm.Win32.Ngrbot.lof Join IRC channel	"/^\S{2,3}\x2d(XP|2K3|VIS|2K8|W7|ERR)\w?\x2d\w+?\x7D\w+?\r\n?/Ri"
trojan-activity	ET EXPLOIT Possible Misfortune Cookie - SET	"/^[0-9][^=]/R"
command-and-control	ET MALWARE Linux/DDoS.M distributed via CVE-2014-6271 Checkin	"/^(?:MIPS(?:EL)?|POWERPC|ARM|X86)\x0a$/R"
trojan-activity	ET MALWARE Linux/DDoS.M SCANNER command	"/^(?:ON|OFF)/R"
trojan-activity	ET DELETED Blackhole Landing Page Eval Variable Obfuscation 3	"/\x2B\x22l\x22(\x3B|\x5D)/"
trojan-activity	ET WEB_CLIENT Upatre Firefox/Chrome Redirector Receiving Payload Jan 9 2015	"/^\s*?\w+\s*?=\s*?[\x22\x27]UEsDB/R"
trojan-activity	ET DELETED Bedep Checkin Response	"/^(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/R"
command-and-control	ET MALWARE Linux/ChinaZ DDoS Bot Checkin	"/^\d+MHz\x00/R"
trojan-activity	ET MALWARE Scieron Retrieving Information Response	"/^(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})system$/R"
command-and-control	ET MALWARE W32/AGENT.NXNX Checkin 2	"/^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}D\x3a\x00+?$/"
trojan-activity	ET WEB_CLIENT Upatre Redirector Jan 23 2015	"/^\/js\/jquery-\d+\.\d{2}\.\d{2}\.js$/U"
trojan-activity	ET WEB_CLIENT Upatre Redirector Jan 23 2015	"/^[^\r\n]+?\.html?\r?$/Rmi"
trojan-activity	ET MALWARE Possible Mailer Dropped by Dyre SSL Cert	"/^.{2}(?P<var>[a-z0-9]{4,16}[01]).+?\x06\x03\x55\x04\x08.{2}(?P=var)/Rs"
exploit-kit	ET EXPLOIT_KIT DRIVEBY Nuclear EK Landing Jan 27 2015 M2	"/^[A-Za-z]{3,5}/R"
exploit-kit	ET EXPLOIT_KIT DRIVEBY Nuclear EK Landing Jan 27 2015 M2	"/^[a-zA-Z0-9]{9}<\/[^>]+>\s+?<[^\s]+\sid=\x22[a-zA-Z]{3,5}\x22\sstyle=\x22display\x3anone\x22>[A-Za-z0-9]{500}/Rs"
trojan-activity	ET MALWARE MSIL/Agent.PYO Receiving Config	"/^\d+\n/R"
trojan-activity	ET DELETED Flashpack Redirect Method 3	"/^Referer\x3a[^\r\n]+\.swf/Hmi"
trojan-activity	ET WEB_CLIENT HanJuan Landing Dec 10 2014	"/^[A-Za-z]{10,}/R"
trojan-activity	ET WEB_CLIENT HanJuan Landing Dec 10 2014	"/^[^\x27]*?2[^\x27]*?7[^\x27]*?c[^\x27]*?d[^\x27]*?b[^\x27]*?6[^\x27]*?e[^\x27]*?-[^\x27]*?a[^\x27]*?e[^\x27]*?6[^\x27]*?d[^\x27]*?-[^\x27]*?1[^\x27]*?1[^\x27]*?c[^\x27]*?f[^\x27]*?-[^\x27]*?9[^\x27]*?6[^\x27]*?b[^\x27]*?8[^\x27]*?-[^\x27]*?4[^\x27]*?4[^\x27]*?4[^\x27]*?5[^\x27]*?5[^\x27]*?3[^\x27]*?5[^\x27]*?4[^\x27]*?0[^\x27]*?0[^\x27]*?0[^\x27]*?0/Rsi"
command-and-control	ET DELETED Possible HTTP GET Deep Panda C2 Activity	"/\.jpg\?id=\d+$/U"
exploit-kit	ET WEB_CLIENT Sweet Orange Landing Nov 04 2013	"/^(?=[a-z]{0,7}[A-Z])(?=[A-Z]{0,7}[a-z])[A-Za-z]{8}\x22[^>]+?>[A-Za-z]{70}/Rs"
exploit-kit	ET DELETED Job314/Neutrino Reboot EK Payload Nov 20 2014	"/^\/(?:[a-z]+\.[a-z]+\d?\?(?:[a-z]+\x3d(?:[a-z]+|[0-9]+)&){3,}[a-z]+=(?:[a-z]+|[0-9]+)|(?:[a-z]+\x2f(?:[a-z]+|[0-9]+)\x2f){3,}[a-z]+\x2f(?:[a-z]+|[0-9]+)\x2f?)$/U"
command-and-control	ET MALWARE W32/AlienSpy RAT Checkin	"/^[\x53\x54]/R"
exploit-kit	ET DELETED Angler EK Payload DL M2 Feb 06 2015	"/^\/(?:[A-Za-z0-9-_]{4}){11,}(?:[A-Za-z0-9-_]{2}==|[A-Za-z0-9-_]{3}=)?$/U"
exploit-kit	ET EXPLOIT_KIT DRIVEBY Nuclear EK Landing Jan 27 2015 M1	"/^[a-z]{7}(?:\s*?[a-z]+\s*?)*?[a-z]{7,}\x2a\x2f[a-zA-Z]{3,5}\W/Rs"
exploit-kit	ET EXPLOIT_KIT DRIVEBY Nuclear EK Landing Jan 27 2015 M1	"/^[a-z]{7}(?:\s*?[a-z]+\s*?)*?[a-z]{7,}\x2a\x2f/Rs"
exploit-kit	ET EXPLOIT_KIT KaiXin EK Possible Jar Download	"/nb[\d+]=Yes/C"
exploit-kit	ET EXPLOIT_KIT KaiXin Landing Page M2	"/^(?P<vname>[A-Za-z0-9]+)\s*?=\s*?navigator.userAgent.toLowerCase\x28\x29\x3b.+?if\(document.cookie[^\r\n]+\([^\r\n]+(?P=vname)[\x2e\x5b\x22\x27+\s]+i[\x22\x27+\s]*n[\x22\x27+\s]*d[\x22\x27+\s]*e[\x22\x27+\s]*x[\x22\x27+\s]*O[\x22\x27+\s]*f[\x22\x27+\s]*\x5d?\(\s*?[\x22\x27]b[\x22\x27+\s]*o[\x22\x27+\s]*t[\x22\x27+\s]*[\x22\x27][^\r\n]+(?P=vname)[\x2e\x5b\x22\x27+\s]+i[\x22\x27+\s]*n[\x22\x27+\s]*d[\x22\x27+\s]*e[\x22\x27+\s]*x[\x22\x27+\s]*O[\x22\x27+\s]*f[\x22\x27+\s]*\x5d?\(\s*?[\x22\x27]s[\x22\x27+\s]*p[\x22\x27+\s]*i[\x22\x27+\s]*d[\x22\x27+\s]*e[\x22\x27+\s]*r[\x22\x27+\s]*[\x22\x27]/Rs"
web-application-attack	ET ATTACK_RESPONSE Microsoft SQL error in HTTP response, possible SQL injection point	"/^ SQL[-_ ]Server/R"
web-application-attack	ET ATTACK_RESPONSE Microsoft Access error in HTTP response, possible SQL injection point	"/^ \d+ Driver/R"
web-application-attack	ET ATTACK_RESPONSE Oracle error in HTTP response, possible SQL injection point	"/ORA-\d{4}/"
web-application-attack	ET ATTACK_RESPONSE Oracle error in HTTP response, possible SQL injection point	"/Warning.*\Woci_/m"
web-application-attack	ET ATTACK_RESPONSE Oracle error in HTTP response, possible SQL injection point	"/Warning.*\Wora_/m"
web-application-attack	ET ATTACK_RESPONSE DB2 error in HTTP response, possible SQL injection point	"/CLI Driver.*DB2/m"
web-application-attack	ET ATTACK_RESPONSE DB2 error in HTTP response, possible SQL injection point	"/bdb2_\w+\(/m"
web-application-attack	ET ATTACK_RESPONSE Informix error in HTTP response, possible SQL injection point	"/Exception.*Informix/m"
web-application-attack	ET ATTACK_RESPONSE SQLite error in HTTP response, possible SQL injection point	"/Warning.*SQLite3::/m"
web-application-attack	ET ATTACK_RESPONSE SAP MaxDB error in HTTP response, possible SQL injection point	"/SQL error.*POS\([0-9]+\)/m"
web-application-attack	ET ATTACK_RESPONSE SAP MaxDB error in HTTP response, possible SQL injection point	"/Warning.*maxdb/m"
web-application-attack	ET ATTACK_RESPONSE Sybase error in HTTP response, possible SQL injection point	"/i?Warning.*sybase/m"
web-application-attack	ET ATTACK_RESPONSE Ingres error in HTTP response, possible SQL injection point	"/Warning.*ingres_/m"
web-application-attack	ET ATTACK_RESPONSE SQLite error in HTTP response, possible SQL injection point	"/Warning.*sqlite_/m"
web-application-attack	ET ATTACK_RESPONSE Ingres error in HTTP response, possible SQL injection point	"/Ingres\W.*Driver/m"
web-application-attack	ET ATTACK_RESPONSE Frontbase error in HTTP response, possible SQL injection point	"/Exception (condition )\d+\. Transaction rollback\./m"
web-application-attack	ET ATTACK_RESPONSE Microsoft SQL error in HTTP response, possible SQL injection point	"/SQL Server.*?error \x27[0-9a-f]{8}/mi"
exploit-kit	ET EXPLOIT_KIT Sweet Orange EK Flash Exploit IE March 03 2015	"/\/(?=[a-z0-9]{0,20}[A-Z])(?=[A-Z0-9]{0,20}[a-z])(?=[A-Za-z]{0,20}[0-9])[A-Za-z0-9]{12,20}$/U"
exploit-kit	ET EXPLOIT_KIT Sweet Orange EK Flash Exploit IE March 03 2015	"/^Referer\x3a[^\r\n]+?\x3a\d+[^\r\n]*?\/[a-z0-9]+\.php\?[a-z0-9]+=\d+(?:\r\n|&)/Hm"
exploit-kit	ET DELETED Redkit URI Struct Flowbit	"/^\/[a-z]{4}\.html?(\?[h-j]=\d+)?$/U"
exploit-kit	ET DELETED RedKit /h***.htm(l) Landing Page - Set	"/^\/h[a-z]{3}\.html?$/U"
exploit-kit	ET DELETED RedKit - Landing Page Requested - 8Digit.html	"/^\/[0-9]{8}\.html$/U"
exploit-kit	ET EXPLOIT_KIT Evil Redirector Leading to EK March 16 2015	"/^\/a[a-z]{9,}\/[a-f0-9]{40}$/U"
exploit-kit	ET EXPLOIT_KIT Evil Redirector Leading to EK March 16 2015	"/^GET \/(?P<name>a[a-z]{9,})\/.+?\r\nHost\x3a\x20(?P=name)\./sm"
exploit-kit	ET EXPLOIT_KIT MWI Maldoc Exploit Kit Stats Callout	"/^\s*?[\x22\x27][^\x22\x27]+\.php\?id=\d+[\x22\x27]/Rs"
exploit-kit	ET EXPLOIT_KIT RIG EK Landing March 20 2015	"/^\W/R"
exploit-kit	ET EXPLOIT_KIT RIG EK Landing March 20 2015 M2	"/^[^\x2a]+\x2a\x2f(?:\x2f\x2a[^\x2a]+\x2a\x2f)*?(?P<arg>[a-z0-9]{3,})(?:\x2f\x2a[^\x2a]+\x2a\x2f)*?\x28[^\x29]+\x29\x3b\x2f\x2a[^\x2a]+\x2a\x2f(?:\x2f\x2a[^\x2a]+\x2a\x2f)*?(?P=arg)(?:\x2f\x2a[^\x2a]+\x2a\x2f)*?\x28/R"
trojan-activity	ET MALWARE Win32.Hyteod.acox Domain Generation Algorithm (DGA) Lookup NXDOMAIN Response	"/^[a-z0-9]{50}/R"
exploit-kit	ET EXPLOIT_KIT HanJuan EK Landing March 24 2015 M1	"/^\s*?(?P<q1>[\x22\x27])(?:(?!(?P=q1)).)+?(?P=q1)\.replace\(\/\[[A-Za-z]{10,}\]/R"
exploit-kit	ET EXPLOIT_KIT HanJuan EK Landing March 24 2015 M1	"/^\s*?\d+,\s*?\d/R"
attempted-user	ET WEB_CLIENT Firefox Proxy Prototype RCE Attempt (CVE-2014-8636)	"/^\s*?\(\s*?[\x22\x27]chrome\x3a\/\//Ri"
exploit-kit	ET EXPLOIT_KIT Nuclear EK JAR URI Struct Nov 05 2013	"/\/14\d{8}(?:\.jar)?$/U"
command-and-control	ET MALWARE Volatile Cedar Win32.Explosive CnC Beacon 2	"/^\x3c\x2a\x60[\x20-\x7e]+\x60\x2a\x3e$/"
command-and-control	ET MALWARE IRC Bot dropped by Mikey Variant CnC Beacon	"/^[a-z0-9]+\[\d+\]/R"
command-and-control	ET MALWARE IRC Bot dropped by Mikey Variant CnC Beacon	"/^\d+\]\r\n$/R"
exploit-kit	ET EXPLOIT_KIT DRIVEBY Nuclear EK SWF	"/^[a-z0-9]*\r\n/HR"
exploit-kit	ET EXPLOIT_KIT DRIVEBY Nuclear EK Payload	"/filename=[a-z0-9]*\r\n/H"
web-application-attack	ET WEB_CLIENT Java Web Start Command Injection (.jar)	"/http\x3a -J-jar -J\x5C\x5C\x5C\x5C\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\x5C\x5C[^\n]*\.jar/i"
attempted-user	ET EXPLOIT MySQL (Linux) Database Privilege Elevation (Exploit Specific)	"/\s*?\/.+?\.TRG\x27\s*?LINES TERMINATED BY \x27\x5fntriggers=/Ri"
attempted-user	ET EXPLOIT MySQL (Linux) Database Privilege Elevation (Exploit Specific)	"/\s+?trigger\s+?[^\x20]+?\s+?after\s+?insert\s+?on\s+?/Ri"
targeted-activity	ET MALWARE Miniduke variant FTP upload	"/^(?:(?:menelao|ho[mr]u)s|adair|johan|kweku)\r\n/R"
trojan-activity	ET MALWARE TinyLoader.A Sending UUID and Processes x86	"/^[a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12}\x7d/R"
trojan-activity	ET WEB_CLIENT DRIVEBY EXE Embeded in Page Likely Evil M1	"/^[a-f0-9]{500}/Rsi"
exploit-kit	ET EXPLOIT_KIT Evil Redirector Leading to EK Mar 19 2015	"/\/\??4c2H(?:$|[&?]utm_source=)/U"
exploit-kit	ET EXPLOIT_KIT SPL2 EK Post-Compromise Data Dump M1	"/(?:Byb2NMaXN0|Qcm9jTGlzd|UHJvY0xpc3)/P"
unsuccessful-user	ET SCAN Potential FTP Brute-Force attempt response	"/530\s+(Login|User|Failed|Not)/smi"
attempted-admin	ET TELNET External Telnet Login Prompt from Cisco Device	"/^(\r\n)*/"
targeted-activity	ET MALWARE CozyDuke APT HTTP CnC Beacon Response	"/^[A-F0-9]{8,12}/R"
exploit-kit	ET EXPLOIT_KIT Possible Sundown EK Flash Exploit Struct T2 Apr 24 2015	"/\/(?=[A-Za-z]{0,3}\d)(?=\d{0,3}[A-Za-z])[A-Za-z0-9]{4,5}\.swf$/U"
trojan-activity	ET MALWARE CORESHELL Malware Response from server	"/^(?:(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4}))?$/R"
exploit-kit	ET EXPLOIT_KIT Nuclear EK Landing Apr 22 2015	"/^\s*[^>]*?[a-zA-Z]+\s*?=\s*?[\x22\x27](?=[a-z]{0,20}[A-Z])(?=[A-Z]{0,20}[a-z])[A-Za-z]{15,21}[\x22\x27][^>]*?>(?=[A-Za-z_]{0,200}[0-9])(?=[0-9a-z_]{0,200}[A-Z])(?=[0-9A-Z_]{0,200}[a-z])[A-Za-z0-9_]{200}/R"
exploit-kit	ET EXPLOIT_KIT CottonCastle/Niteris EK Landing URI Struct April 29 2015 M2	"/\/5\/[a-f0-9]{32}\/\x20*http\x3a\x2f/U"
command-and-control	ET MALWARE Linux.Trojan.IptabLex Variant Checkin	"/^[\x01\x03\x08\x09\x0b]\x00/R"
command-and-control	ET MALWARE Linux.Mumblehard Spam Command CnC	"/^\d{1,3}[0-2]/R"
exploit-kit	ET EXPLOIT_KIT Magnitude EK Flash Payload ShellCode Apr 23 2015	"/^\x2f+\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\x2f\??[a-f0-9]+\x7chttp\x3a\x2f/Rs"
trojan-activity	ET MALWARE Dyre Downloading Mailer 2	"/^[^\r\n]+\r\n(?:\r\n)?$/RHi"
trojan-activity	ET MALWARE Dyre Downloading Mailer 2	"/\.tar$/U"
exploit-kit	ET CURRENT_EVENTS CritX/SafePack/FlashPack URI Format June 17 2013 3	"/\/(?:java(?:byte|db)|o(?:utput|ther)|r(?:hino|otat)|msie\d|load)\.php\?hash=/U"
bad-unknown	ET HUNTING SUSPICIOUS Possible Office Doc with Embedded VBA Project	"/\d*?\.bin/Ri"
targeted-activity	ET MALWARE Possible APT17 CnC Content in Public Website	"/^[a-zA-Z0-9]{8}/R"
exploit-kit	ET DELETED DRIVEBY Angler EK Landing URI Struct Feb 21	"/^\/lists\/\d{15}(?:\d{5})?$/U"
exploit-kit	ET DELETED Redkit Jar Naming Pattern March 03 2013	"/^\/[a-z0-9]{2}\.jar$/U"
exploit-kit	ET EXPLOIT_KIT Likely CottonCastle/Niteris EK Response June 19 2015	"/^Refresh\x3a\x20\d+\x3b\x20url[^\r\n]+\/999\/00000\/\r?$/Hm"
command-and-control	ET MALWARE Linux/ChinaZ DDoS Bot Checkin 2	"/^\d+/R"
command-and-control	ET MALWARE Linux/ChinaZ DDoS Bot Checkin 2	"/^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}/R"
exploit-kit	ET EXPLOIT_KIT KaiXin Secondary Landing Page June 22 2015	"/^\s*?[\x22\x27][^\x22\x27a-f0-9]68[^\x22\x27a-f0-9]74[^\x22\x27a-f0-9]74[^\x22\x27a-f0-9]70[^\x22\x27a-f0-9]3a[^\x22\x27a-f0-9]2f[^\x22\x27a-f0-9]2f[^\x22\x27]+?[^\x22\x27a-f0-9]00[\x22\x27]/Ri"
trojan-activity	ET DELETED Possible Upatre or Dyre SSL Cert June 9 2015	"/^[A-Z]{2}[01]/R"
trojan-activity	ET DELETED Possible Upatre or Dyre SSL Cert June 9 2015	"/^.{1}(?=[a-z0-9]{0,119}[A-Z])(?=[A-Z0-9]{0,119}[a-z])[a-zA-Z0-9]{10,120}[01]/R"
trojan-activity	ET DELETED Possible Upatre or Dyre SSL Cert June 9 2015	"/^(?=[a-z0-9]{0,119}[A-Z])(?=[A-Z0-9]{0,119}[a-z])[a-zA-Z0-9]{10,120}[01]/R"
trojan-activity	ET DELETED Possible Upatre or Dyre SSL Cert June 9 2015	"/^(?=[a-z0-9]{0,119}[A-Z])(?=[A-Z0-9]{0,119}[a-z])(?P<var>[a-zA-Z0-9]{10,120}[01]).+?\x55\x04\x03.{2}(?P=var)/Rs"
trojan-activity	ET DELETED Possible Upatre or Dyre SSL Cert June 29 2015	"/^.{1}(?=[a-zA-Z]{0,119}[0-9])[a-zA-Z0-9]{9,120}[01]/R"
trojan-activity	ET DELETED Possible Upatre or Dyre SSL Cert June 29 2015	"/^(?=[a-zA-Z]{0,119}[0-9])[a-zA-Z0-9]{9,120}[01]/R"
trojan-activity	ET DELETED Possible Upatre or Dyre SSL Cert June 29 2015	"/^(?=[a-zA-Z]{0,119}[0-9])(?P<var>[a-zA-Z0-9]{9,120}[01]).+?\x55\x04\x03.{2}(?P=var)/Rs"
command-and-control	ET MALWARE Win32/Denisca.A CnC Beacon	"/\x7c[a-f0-9]{16}\x7c\d+\x7c$/"
exploit-kit	ET DELETED Possible Angler EK SilverLight Exploit	"/^\/0[a-z0-9]{13}$/U"
command-and-control	ET MALWARE Backdoor.Win32.PcClient.bal CnC (OUTBOUND) 4	"/[^\x28][^\x76\x74\x02\x03\x15\x54\x12\x13\x0a\x17\x14\x16\x04\x0b\x22][\x05\x09\x0b\x0e\x08\x06\x1a-\x1f\x10\x11\x18\x19\x40-\x47\x48-\x4f\x50-\x53\x55\x56\x58-\x5e\x60-\x68\x6a-\x6f\x70\x72\x76-\x7e]{1,14}\x28/R"
attempted-user	ET WEB_CLIENT Possible Microsoft Internet Explorer Dynamic Object Tag/URLMON Sniffing Cross Domain Information Disclosure Attempt	"/(obj.data|object.data).+file\x3A\x2F\x2F127\x2E[0-9]/si"
command-and-control	ET MALWARE Java/QRat Checkin	"/\x00\x05value$/"
exploit-kit	ET DELETED Angler EK SilverLight Payload Request - May 2014	"/^\/[-a-zA-Z0-9_]{70,75}==?$/U"
exploit-kit	ET EXPLOIT_KIT NullHole URI Struct Jul 22 2015 M2	"/^\/[a-f0-9]{32}\/e\.html$/U"
command-and-control	ET DELETED KINS/ZeusVM Variant CnC Beacon	"/^[\x20-\x7e\s]{0,20}[^\x20-\x7e\s]/P"
command-and-control	ET DELETED KINS/ZeusVM Variant CnC Beacon	"/\.php\/(?:[a-zA-Z0-9]+\/)+[A-F0-9]{8}$/U"
command-and-control	ET DELETED KINS/ZeusVM Variant CnC Beacon	"/^User-Agent\x3a[^\r\n]+(?: MSIE |rv\x3a11)/Hmi"
trojan-activity	ET CURRENT_EVENTS NuclearPack - PDF Naming Algorithm	"/=\w{8}\.pdf/Hi"
exploit-kit	ET EXPLOIT_KIT Evil Redirector Leading to EK Jul 29	"/Host\x3a\x20a[a-z]{10}\.[a-z]{5}\./H"
attempted-dos	ET EXPLOIT Possible BIND9 DoS CVE-2015-5477 M1	"/^.{4}[^\x00]+\x00/R"
attempted-dos	ET EXPLOIT Possible BIND9 DoS CVE-2015-5477 M1	"/^..[^\x00]+\x00/Rs"
attempted-dos	ET EXPLOIT Possible BIND9 DoS CVE-2015-5477 M4	"/^[^\x00]+\x00/R"
exploit-kit	ET EXPLOIT_KIT Malvertising Redirection to Exploit Kit Aug 07 2014	"/\.js\?ver=[0-9]\.[0-9]{2}\.[0-9]{4}$/U"
trojan-activity	ET EXPLOIT HT SWF Exploit RIP	"/^(?=[^>]*?\ssrc\s*?=\s*?[\x22\x27][^\x22\x27]*?\.swf[\x22\x27])(?=[^>]*?\swidth\s*?=\s*?[\x22\x27]0[\x22\x27])[^>]*?\sheight\s*?=\s*?[\x22\x27]0[\x22\x27]/Ri"
targeted-activity	ET MALWARE APT Lurker GET CnC Beacon	"/^[^\r\n]+\r\nUser-Agent\x3a[^\r\n]+\r\n(?:\r\n)?$/Rmi"
exploit-kit	ET DELETED Magnitude EK (formerly Popads) - Font Exploit - 32HexChar.eot	"/\/[a-f0-9]{32}\.eot$/U"
bad-unknown	ET HUNTING SUSPICIOUS IRC - NICK and Possible Windows XP/7	"/^[^\r\n]*(?:W(?:in(?:dows)?)?[^a-z0-9]?(XP|[7-8])|Vista)/Ri"
exploit-kit	ET EXPLOIT_KIT CottonCastle/Niteris EK Secondary Landing URI Struct Aug 17 2015	"/\/\d\/?[A-Z]+\/[a-f0-9]{32}(?:[a-f0-9]{8})?\.html&[a-z]+=[^&]+&[a-z]+=\d{3}\.\d{3}\.\d{3,}(?:\.\d{3,})?$/U"
exploit-kit	ET EXPLOIT_KIT CottonCastle/Niteris EK Exploit URI Struct Aug 17 2015	"/\/\d\/?[A-Z]+\/[a-f0-9]{40}\/$/U"
command-and-control	ET MALWARE EvilGrab/Vidgrab Checkin	"/^\d{1,3}\x2e\d{1,3}\x2e\d{1,3}\x2e\d{1,3}/R"
command-and-control	ET MALWARE EvilGrab/Vidgrab Checkin	"/^\d{1,5}/R"
trojan-activity	ET MALWARE Possible Dridex SSL Cert Aug 12 2015	"/^.{2}(?!GoDaddy)[A-Z][a-z]+\s[A-Z][a-z]+\s(?:NL|Pty|Inc|Corp|Ltd)/Rs"
trojan-activity	ET MALWARE Possible Dridex SSL Cert Aug 12 2015	"/^.{2}[a-z]{5,}\.[a-z]{2}\x30/Rs"
attempted-user	ET EXPLOIT Possible Android Stagefright MP4 CVE-2015-1538 - STSC	"/^(?P<addr1>.{4})(?P<addr2>.{4})(?P=addr2)(?P=addr1)/Rsi"
command-and-control	ET MALWARE Iron Tiger DNSTunnel Retrieving CnC	"/^(?:#+[A-Z]+)?\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}(?:\x3a\d{1,5})?\${10}/R"
trojan-activity	ET WEB_CLIENT Evil Redirector from iframe Sep 29 2015	"/^\/in\/\?_BC=\d+,\d+,\d+,[0-9,-]+,$/U"
exploit-kit	ET EXPLOIT_KIT Likely SweetOrange EK Java Exploit Struct (JAR)	"/\/(?=[a-z0-9]{0,10}[A-Z])(?=[A-Z0-9]{0,10}[a-z])[A-Z-a-z0-9]{5,20}\.jar$/U"
trojan-activity	ET MALWARE Linux/dtool IRC Command (AUTH)	"/^(?:in|out)/R"
trojan-activity	ET MALWARE Possible Dridex SSL Cert Oct 12 2015	"/^.{2}[a-z]{5,}\.[a-z]{2,3}[01]/R"
web-application-attack	ET WEB_SPECIFIC_APPS Versatile Bulletin Board SQL Injection Attack	"/UNION\s+SELECT/URi"
attempted-admin	GPL FTP USER overflow attempt	"/^USER\x20[^\x00\x20\x0a\x0d]{100}/smi"
policy-violation	ET POLICY Possible ethereum traffic	"/^[^/s]*(?:eth_(?:g(?:et(?:B(?:lock(?:TransactionCountBy(?:Number|Hash)|By(?:Number|Hash))|alance)|Transaction(?:By(?:Block(?:Number|Hash)AndIndex|Hash)|(?:Receip|Coun)t)|Uncle(?:ByBlock(?:Number|Hash)AndIndex|CountByBlock(?:Number|Hash))|(?:Filter(?:Change|Log)|Log)s|Co(?:mpilers|de)|StorageAt|Work)|asPrice)|(?:(?:new(?:PendingTransaction|Block)?|uninstall)Filt|blockNumb)er|s(?:(?:end(?:Raw)?Transactio|ig)n|ubmit(?:Hashrate|Work)|yncing)|c(?:o(?:mpile(?:S(?:olidity|erpent)|LLL)|inbase)|all)|(?:estimateGa|account)s|protocolVersion|hashrate|mining)|shh_(?:new(?:Identity|Filter|Group)|get(?:FilterChan|Messa)ges|uninstallFilter|hasIdentity|addToGroup|version|post)|db_(?:get(?:String|Hex)|put(?:String|Hex))|net_(?:listening|peerCount|version)|web3_(?:clientVersion|sha3))/R"
